matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6731860093,420,17,13,23,-1,-1,1,1,0,5,2,-31,24,4,1
KR_6749510736,420,5,10,100,1,1,-1,1,0,7,-3,52,-4,5,1
KR_6744043796,420,-2,0,14,-1,-1,1,1,0,0,-1,-30,7,4,1
KR_6746665728,420,-10,-5,-17,-1,1,-1,0,0,1,-7,8,11,2,1
KR_6728621329,420,9,10,25,-1,1,-1,0,0,2,4,28,-39,6,1
KR_6724602802,420,2,3,5,-1,-1,1,1,0,3,4,-17,32,2,1
KR_6730911180,420,2,-1,14,1,1,1,1,0,3,2,-18,44,6,1
KR_6749619406,420,7,1,16,-1,1,-1,-1,0,2,4,-2,-3,6,1
KR_6742593130,420,6,8,-25,1,-1,1,1,0,2,-1,24,15,6,1
KR_6746741106,420,-5,4,-2,1,1,1,1,0,2,1,-5,0,5,1
KR_6748776691,420,-8,-4,-42,-1,1,1,-1,0,-3,1,-1,-16,2,1
KR_6743429262,420,2,-4,-17,1,1,1,1,0,-1,-3,7,42,3,1
