matchId,queueId,Diff-A,Diff-K,Diff_CS,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_Inhibitor,Diff_LV,Diff_WARDkill,Diff_WARDplaced,Diff_jglCS,dragonType,result
KR_6135422943,440,3,5,42,-1,1,1,-1,0,4,4,-226,12,5,1
KR_6647730946,420,-5,-5,5,1,-1,-1,0,0,-1,-1,31,4,5,1
KR_6725360272,420,7,7,54,-1,-1,-1,1,0,5,7,-6,-1,5,1
KR_6727833597,420,13,13,6,1,1,-1,1,0,2,4,158,12,5,1
KR_6734214846,440,6,8,7,-1,1,1,1,0,5,0,12,62,1,1
KR_6748349504,420,-5,-6,-38,-1,-1,-1,-1,0,-3,2,-1,9,1,1
KR_6645294928,420,-4,-3,53,1,-1,1,-1,0,1,-2,20,17,4,1
KR_6674184080,420,3,1,24,-1,-1,-1,-1,0,-1,-4,6,-24,1,1
KR_6736710866,420,8,7,36,1,1,1,1,0,3,-1,1,40,5,1
KR_6748775272,440,5,3,-5,1,0,-1,-1,0,1,-6,13,-5,0,1
KR_6740543218,440,6,1,-10,1,0,1,0,0,0,3,-5,-16,0,1
KR_6302118526,420,-7,-3,-21,1,1,-1,-1,0,0,2,-8,33,5,1
KR_6705450186,420,3,5,53,1,1,1,1,0,3,2,383,-16,6,1
KR_6697084999,420,1,1,34,-1,1,-1,1,0,5,-1,1,-16,5,1
KR_6696106561,420,-10,-8,-32,-1,1,-1,-1,0,-1,-7,0,20,4,1
KR_6753755867,420,5,-4,-38,-1,1,-1,-1,0,-2,-3,249,-34,3,1
KR_6660230258,420,11,7,72,1,1,1,1,0,1,-1,2,-17,4,1
KR_6748478985,420,6,7,96,1,0,-1,1,0,4,-1,4,-8,0,1
KR_6676460778,440,1,4,48,1,0,-1,0,0,1,-1,3,-8,0,1
KR_6740366197,420,-3,-1,-43,-1,-1,-1,-1,0,0,2,111,0,4,1
KR_6659708328,420,11,11,18,1,1,1,1,0,6,2,23,6,3,1
KR_6732260453,420,7,-1,-62,1,1,-1,-1,0,0,1,-4,4,5,1
KR_6672056354,420,14,3,30,1,1,-1,-1,0,0,5,-5,-14,6,1
KR_6510858677,420,0,-4,12,1,-1,1,1,0,0,-4,30,24,5,1
KR_6751046060,420,-1,3,-51,-1,1,-1,-1,0,-2,-2,3,-12,1,1
KR_6654623029,420,-4,1,15,1,1,-1,0,0,0,4,-110,13,6,1
KR_6661285716,420,24,16,104,1,1,1,1,0,7,6,177,8,4,1
KR_6661045176,420,-3,-3,-2,-1,-1,-1,0,0,0,-1,-11,-8,2,1
KR_6667497114,420,10,17,78,1,1,0,1,0,7,2,6,12,3,1
KR_6667286304,440,14,5,26,-1,1,0,1,0,2,1,-11,-24,6,1
KR_6425189763,420,-10,-5,-44,1,-1,1,1,0,-2,-4,80,5,1,1
KR_6655253570,420,12,10,9,1,-1,1,0,0,2,-3,2,14,2,1
KR_6682866006,420,-1,0,80,-1,-1,1,1,0,4,4,3,1,6,1
KR_6755270731,420,-2,7,60,1,1,1,1,0,5,-2,26,24,1,1
KR_6675624058,420,2,7,-14,1,1,-1,1,0,4,3,-15,36,4,1
KR_6403891783,420,18,12,65,1,1,-1,1,0,4,0,23,13,5,1
KR_6604889216,420,2,-2,-85,-1,-1,1,0,0,-2,2,-8,-9,5,1
KR_6749227091,420,6,11,69,1,1,1,0,0,2,0,4,-24,3,1
KR_6755728187,420,3,4,33,-1,1,-1,0,0,2,-32,44,11,3,1
KR_6746480574,420,6,10,46,-1,1,0,1,0,5,2,13,-13,1,1
KR_6744729686,440,13,13,110,1,1,1,1,0,6,3,-73,26,3,1
KR_6700714918,420,-5,1,43,-1,-1,1,1,0,1,3,7,4,4,1
KR_6569798406,420,-7,-5,-21,-1,1,-1,1,0,-1,3,-1,-26,4,1
KR_6407874252,420,4,9,-44,-1,1,0,0,0,3,3,-2,57,3,1
KR_6626110059,420,2,7,21,1,1,1,0,0,1,-2,6,11,4,1
KR_6753728487,420,-9,-2,3,1,1,1,1,0,0,1,-7,12,5,1
KR_6709701439,420,8,2,13,1,1,-1,-1,0,3,-2,3,29,2,1
KR_6642847651,420,2,-3,13,-1,1,1,0,0,-1,-4,12,11,3,1
KR_6741032926,420,0,8,38,1,1,-1,1,0,4,3,-15,35,2,1
KR_6728545643,420,18,14,93,1,1,0,1,0,6,8,-8,15,2,1
KR_6753286857,420,-4,-4,-18,-1,-1,1,0,0,1,0,35,-5,2,1
KR_6710299448,420,4,3,22,-1,1,1,1,0,-2,-1,-32,-8,5,1
KR_6716661313,420,7,8,76,1,1,-1,0,0,4,2,18,3,1,1
KR_6731813578,420,5,10,102,-1,-1,1,1,0,5,15,174,-14,2,1
KR_6749167372,420,2,4,133,1,1,1,1,0,5,-15,48,44,3,1
KR_6530946837,420,-7,-4,-52,1,1,-1,0,0,-2,4,-3,4,1,1
KR_6636207892,420,3,4,-23,-1,0,1,1,0,-3,3,0,-16,0,1
KR_6723683388,420,-3,-7,-47,1,-1,1,-1,0,-4,-2,-7,-5,1,1
KR_6746633516,420,18,18,45,1,-1,1,1,0,3,3,0,0,3,1
KR_6653600758,420,10,17,117,1,1,1,1,0,9,4,122,16,3,1
KR_6578483852,420,-8,-4,23,1,-1,-1,1,0,0,2,2,-17,6,1
KR_6683238786,420,2,3,0,-1,1,-1,-1,0,3,-3,47,7,3,1
KR_6750992564,420,7,8,111,1,1,1,1,0,4,-23,34,32,2,1
KR_6665267162,420,-2,3,28,1,1,1,1,0,2,-1,118,-10,4,1
KR_6745737842,420,-4,-6,-7,-1,0,0,-1,0,-2,-5,25,-32,0,1
KR_6707306823,440,8,8,-54,-1,0,1,1,0,4,3,31,56,0,1
KR_6716132330,440,8,4,20,1,1,-1,0,0,1,2,5,16,3,1
KR_6751838837,420,6,5,72,1,1,1,0,0,2,0,7,-12,1,1
KR_6624539300,440,-2,9,37,-1,1,-1,1,0,4,5,5,20,5,1
KR_6649486718,420,2,0,-4,-1,-1,1,1,0,-1,1,-50,-4,3,1
KR_6640966229,420,5,0,18,1,0,1,1,0,-1,1,21,4,0,1
KR_6669637650,420,10,12,38,1,1,1,1,0,2,-30,53,21,1,1
KR_6745268041,440,-9,-4,-49,1,-1,1,1,0,-1,1,0,19,3,1
KR_6751401873,420,-21,-7,12,1,-1,1,1,0,-1,-1,11,8,4,1
KR_6744956247,420,4,10,39,1,0,1,1,0,2,2,-5,20,0,1
KR_6748448265,420,15,8,16,1,1,1,1,0,3,-2,3,40,1,1
KR_6755829838,420,6,4,18,-1,-1,1,0,0,2,-3,-280,28,1,1
KR_6667879887,420,9,10,102,-1,0,1,1,0,3,3,-19,4,0,1
KR_6732803083,420,4,8,42,1,1,1,1,0,3,0,-4,-17,1,1
KR_6668573302,420,13,21,103,1,1,1,1,0,9,3,11,35,1,1
KR_6655940347,420,9,5,-31,1,1,-1,1,0,1,1,-2,-25,3,1
KR_6673977350,420,3,5,79,1,1,1,0,0,3,3,5,-9,1,1
KR_6713661417,420,23,13,111,1,1,1,1,0,5,-1,-3,0,5,1
KR_6755595368,440,18,6,-23,-1,1,-1,-1,0,-1,0,-2,24,2,1
KR_6576954340,440,-5,1,49,1,1,1,1,0,3,4,-9,12,2,1
KR_6577121397,420,2,0,49,1,0,1,1,0,2,-20,48,34,0,1
KR_6754485360,420,20,11,8,1,1,-1,0,0,3,5,-7,-36,4,1
KR_6748668152,440,-1,-2,17,-1,1,-1,-1,0,0,2,-16,24,2,1
KR_6737749743,420,10,8,8,1,-1,1,1,0,0,0,-5,-7,6,1
KR_6736661202,420,-5,-2,-19,1,-1,1,0,0,-5,2,-8,-24,4,1
KR_6720539019,420,-6,7,76,1,0,1,1,0,3,1,-3,21,0,1
KR_6724489132,420,5,6,51,1,1,1,1,0,1,-2,2,-6,2,1
KR_6739173406,420,5,10,59,1,1,1,1,0,5,-4,13,4,3,1
KR_6531088186,420,2,1,-22,1,1,-1,-1,0,0,2,0,24,1,1
KR_6686924897,420,0,3,-1,1,-1,1,1,0,1,2,-1,-12,6,1
KR_6745706703,420,-8,-8,25,-1,1,-1,0,0,0,2,376,-16,5,1
KR_6746317289,420,13,6,19,1,0,1,-1,0,0,-2,16,48,0,1
KR_6687492620,420,7,2,-7,1,1,-1,1,0,0,-4,17,-20,6,1
KR_6749316638,420,10,8,49,1,0,1,1,0,2,4,14,2,0,1
KR_6730223445,420,1,-1,-57,1,1,1,-1,0,-2,0,3,-4,5,1
KR_6504673251,420,10,9,-26,-1,-1,-1,-1,0,2,1,48,-13,3,1
KR_6754301475,420,5,-1,-1,1,-1,-1,0,0,0,-4,-12,-14,2,1
KR_6693058683,440,5,4,-9,-1,-1,-1,0,0,2,0,-1,18,5,1
KR_6606620441,420,1,-5,-13,-1,-1,1,1,0,-2,1,-38,15,3,1
KR_6709556481,440,2,9,127,1,1,1,1,0,3,-4,16,17,6,1
KR_6746891770,420,3,-1,48,1,1,-1,0,0,0,1,-2,-12,3,1
KR_6696350770,420,3,-3,-38,-1,1,1,-1,0,-2,0,6,12,1,1
KR_6543435976,420,7,4,3,1,-1,-1,1,0,2,3,-122,9,6,1
KR_6716617094,420,-4,0,-46,1,-1,1,1,0,2,0,-6,15,3,1
KR_6751999244,420,-3,1,-29,-1,0,1,1,0,0,1,0,-1,0,1
KR_6744145155,420,2,4,53,1,-1,1,1,0,3,-3,10,16,3,1
KR_6652520399,420,6,5,-3,1,-1,1,0,0,3,4,-11,20,5,1
KR_6748010466,420,-3,-1,-17,-1,-1,-1,-1,0,0,2,5,-4,5,1
KR_6403791782,420,4,7,10,1,1,1,1,0,2,-3,277,0,2,1
KR_6589852375,420,11,12,129,1,-1,1,1,0,5,6,3,1,2,1
KR_6617190047,420,11,13,36,1,-1,1,1,0,4,-3,14,5,3,1
KR_6740736726,440,1,-1,49,1,-1,1,0,0,2,-4,-93,23,3,1
KR_6520018486,420,14,8,41,1,1,0,1,0,2,-1,-12,31,1,1
KR_6563027496,420,7,10,64,-1,1,1,1,0,5,4,8,36,1,1
KR_6727653729,420,18,16,33,-1,1,1,1,0,6,2,-15,20,2,1
KR_6719658246,440,-2,1,26,-1,1,1,1,0,-1,4,-9,-32,4,1
KR_6753603546,420,7,5,-19,1,-1,1,1,0,-3,4,5,4,2,1
KR_6746954777,420,-5,-1,39,1,1,-1,1,0,3,-1,8,20,6,1
KR_6727660654,440,3,9,27,1,1,1,1,0,3,5,-13,14,3,1
KR_6745447077,420,-6,-1,52,-1,1,-1,0,0,3,5,152,12,1,1
KR_6728186152,440,-6,-6,25,-1,1,-1,-1,0,-1,2,-12,8,1,1
KR_6731699447,420,-5,-4,17,1,1,-1,0,0,-3,-2,126,-5,3,1
KR_6546992753,420,9,8,-37,1,1,1,-1,0,0,3,21,16,1,1
KR_6705240041,440,8,2,-11,1,1,-1,-1,0,-2,2,-19,0,4,1
KR_6675389382,420,9,8,48,1,-1,1,1,0,2,-2,-2,-8,2,1
KR_6736545126,420,7,13,59,1,1,1,1,0,4,-5,7,20,1,1
KR_6608074490,420,-6,-4,-11,-1,1,-1,-1,0,0,0,319,-30,5,1
KR_6672476561,420,-6,-3,-19,-1,1,1,0,0,-2,-5,-6,-6,6,1
KR_6743610924,440,7,3,80,-1,1,-1,0,0,2,-3,16,31,6,1
KR_6702707385,420,5,4,-20,1,1,1,1,0,0,-5,-8,1,1,1
KR_6549132016,420,9,8,45,1,1,-1,1,0,4,-1,8,-4,5,1
KR_6670341469,420,6,1,-57,-1,0,-1,0,0,1,3,-8,-25,0,1
KR_6737947372,420,3,6,21,1,1,1,0,0,1,1,1,-1,5,1
KR_6715901120,420,1,-1,8,-1,-1,-1,0,0,0,4,8,-16,3,1
KR_6742722210,420,-4,1,-33,-1,-1,-1,1,0,2,1,221,10,6,1
KR_6690570172,420,-4,-4,-14,1,-1,1,1,0,-2,0,5,-19,2,1
KR_6749343661,420,-2,-1,8,1,1,-1,1,0,0,-2,7,4,5,1
KR_6710167721,420,19,16,33,1,0,1,1,0,3,-1,2,26,0,1
KR_6703677320,420,2,-2,3,1,-1,0,0,0,-1,5,-8,-8,4,1
KR_6755064462,420,4,1,0,-1,0,0,0,0,1,7,6,0,0,1
KR_6708309040,420,7,6,-46,1,1,1,0,0,1,4,1,-14,2,1
KR_6715826186,420,4,2,-98,-1,-1,1,-1,0,1,-4,-251,12,5,1
KR_6715544411,420,8,7,53,-1,1,-1,0,0,3,26,-56,17,1,1
KR_6755735586,420,8,13,17,1,1,-1,1,0,5,2,-10,28,3,1
KR_6715234423,420,4,9,44,1,1,0,0,0,3,-3,-2,-23,2,1
KR_6707710276,420,-3,-4,13,-1,0,-1,-1,0,-1,0,-16,4,0,1
KR_6676295540,420,6,10,59,1,-1,-1,1,0,3,1,-1,-16,3,1
KR_6730315405,420,-9,0,0,1,1,1,1,0,0,-3,6,-1,4,1
KR_6504342948,420,8,8,-1,1,-1,1,1,0,2,2,-1,0,3,1
KR_6736956058,420,2,1,58,-1,1,0,1,0,0,-3,11,-1,5,1
KR_6698334963,440,29,23,82,1,1,1,1,0,9,4,9,20,6,1
KR_6741861722,420,0,-1,-59,-1,1,1,1,0,-1,1,-5,-6,2,1
KR_6751100837,420,1,1,84,-1,1,1,1,0,2,1,8,-23,1,1
KR_6669442797,420,11,12,67,1,1,1,1,0,5,-1,11,5,4,1
KR_6582737052,420,-6,-2,-7,-1,-1,1,0,0,0,4,-20,9,2,1
KR_6684455541,420,6,10,38,-1,1,1,1,0,4,5,-14,28,4,1
KR_6651399156,420,18,11,38,1,1,1,1,0,-2,25,-33,-25,2,1
KR_6744177414,420,1,-2,11,-1,-1,-1,1,0,-1,1,-6,0,2,1
KR_6631073872,420,5,1,54,1,1,-1,-1,0,4,6,0,28,1,1
KR_6681996736,440,2,-1,-94,-1,1,0,-1,0,0,-1,1,16,4,1
KR_6725319718,420,-7,-1,10,1,-1,-1,1,0,1,-3,12,13,1,1
KR_6626784977,420,-2,2,86,1,1,-1,1,0,2,-3,4,-1,5,1
KR_6721166757,440,3,4,33,-1,1,1,0,0,-1,1,-21,0,4,1
KR_6635508761,420,13,8,30,-1,1,1,1,0,2,-3,10,-2,4,1
KR_6646591611,420,-5,-7,38,-1,1,-1,0,0,2,-1,17,4,6,1
KR_6750578953,420,4,4,12,1,-1,1,0,0,1,0,-3,12,3,1
KR_6714202997,420,1,6,-9,1,0,1,0,0,4,0,33,28,0,1
KR_6721706294,420,3,1,41,1,1,1,0,0,3,3,-169,16,3,1
KR_6728858312,420,20,12,33,1,0,1,1,0,5,2,14,16,0,1
KR_6653161318,420,2,-4,-27,-1,1,1,-1,0,-2,1,9,20,6,1
KR_6720421063,420,-11,-3,-27,-1,1,-1,-1,0,-1,3,-108,23,3,1
